year,forecast_yoy_real,ci_lower_95,ci_upper_95,selected_order
2023,-4.745383498332838,-11.768929077512288,2.278162080846613,"(2, 0, 0)"
2024,-5.100766767885091,-15.233578782006049,5.032045246235867,"(2, 0, 0)"
2025,-4.302925998974203,-15.624264204514056,7.01841220656565,"(2, 0, 0)"
2026,-3.344472272879085,-14.961460688987877,8.272516143229705,"(2, 0, 0)"
2027,-2.6369298687211544,-14.287053515240869,9.013193777798561,"(2, 0, 0)"
2028,-2.2485126559010387,-13.89867673238537,9.401651420583294,"(2, 0, 0)"
2029,-2.1010181192721005,-13.756442086493497,9.554405847949294,"(2, 0, 0)"
2030,-2.088403858594947,-13.749171005056382,9.572363287866487,"(2, 0, 0)"
2031,-2.1287387418508317,-13.79197865509743,9.534501171395767,"(2, 0, 0)"
2032,-2.175253790539962,-13.839129879509077,9.488622298429153,"(2, 0, 0)"
2033,-2.2090066425234176,-13.872950110515449,9.454936825468613,"(2, 0, 0)"
2034,-2.2272485819359127,-13.891192415567163,9.436695251695339,"(2, 0, 0)"
